date_utc,nb_matchs,nb_value_bets_modele_b,erreur
2026-08-21T08:48:52.067199+00:00,7,3,
2026-08-21T14:06:16.564060+00:00,7,1,
2026-08-21T19:16:11.203772+00:00,32,36,
2026-08-22T03:08:07.725666+00:00,10,7,
2026-08-22T07:45:36.533360+00:00,8,6,
2026-08-22T13:43:18.782566+00:00,22,22,
2026-08-22T14:15:52.309799+00:00,49,42,
2026-08-22T19:02:34.891472+00:00,38,47,
2026-08-23T03:30:12.746677+00:00,14,12,
2026-08-23T07:47:34.148069+00:00,8,5,
2026-08-23T11:26:53.509486+00:00,19,17,
2026-08-23T13:45:08.595361+00:00,27,38,
2026-08-23T19:01:48.919578+00:00,32,40,
2026-08-24T03:32:53.332074+00:00,8,3,
2026-08-24T08:26:07.774228+00:00,8,3,
